"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HTRA4",-0.146252183225155,-2.87156830224242,-3.01875199368914,0.00416565539287983,0.418018717592144,-2.08579109454603
"FSIP1",0.149110669137572,-0.0674551290764187,3.01864620900972,0.00416686234918817,0.418018717592144,-1.96481757449551
"AZIN1-AS1",0.0811251015310136,1.20966336382058,3.01805580318967,0.00417360464040329,0.418018717592144,-1.97805641718833
"LMNTD1",0.231422847260884,1.09639813817553,3.0164079895848,0.00419247641013965,0.418018717592144,-1.97938244145805
"HSD11B1L",0.0902214404756345,2.61599119441347,3.0155555083043,0.00420227091049664,0.418018717592144,-2.04157055869096
"SLC38A5",0.110347460044106,1.88249141374963,3.01400995558386,0.00422008309599874,0.418018717592144,-2.00914497441784
"LINC01186",0.0661094852343751,1.04984934887468,3.01362537699755,0.00422452626793078,0.418018717592144,-1.98443615661297
"MS4A8",0.166346430519427,4.59456440959273,3.01270486019143,0.00423517913452676,0.418018717592144,-2.17106175216027
"LTC4S",0.0895647556162929,1.35332856139779,3.0059223850874,0.00431445020572209,0.418018717592144,-2.012691411695
"RIIAD1",0.224067200595613,1.46184296438816,3.00350592244255,0.00434302721893657,0.418018717592144,-2.01936711929676
"RPS6",0.0372544082873998,8.83834608267272,3.0006845609611,0.00437661687837861,0.418018717592144,-2.36167025509655
"MDP1",0.0619758160010666,3.3495714374711,2.99753377680072,0.00441441598290313,0.418018717592144,-2.12508758822058
"IFT172",0.105346053419292,5.96096244019474,2.99580145483697,0.0044353282068478,0.418018717592144,-2.29573310185799
"LY6G5C",0.0827860122737344,1.6932670828959,2.99529700400274,0.0044414352471837,0.418018717592144,-2.04600783451188
"C11orf70",0.162004090637847,3.86956826379454,2.9948237274227,0.00444717203987174,0.418018717592144,-2.16628937259912
"DYDC2",0.183385083185548,2.98985062732264,2.98696897418942,0.00454340176073007,0.418018717592144,-2.13055205246728
"LOC101928270",0.215706386035539,-3.27531970451923,2.98509231398181,0.00456667969333879,0.418018717592144,-2.1679762516912
"TTC29",0.23700194483144,2.39964811188968,2.98403467553972,0.00457984767806931,0.418018717592144,-2.10478128237518
"COL4A2-AS1",0.112848902521338,-1.52295169254922,2.98021696890589,0.0046276757069832,0.418018717592144,-2.08514916668498
"HSPBP1",0.0896816930503211,6.35245453718822,2.97856556051537,0.00464850891699401,0.418018717592144,-2.3515703689394
"STOML3",0.184469057481998,4.12764459317154,2.97646582261055,0.00467512470536096,0.418018717592144,-2.22995152798684
